,molecule,radical1,radical2,bond_index,BDE,mol_id
0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,O=C1NC(=O)C(c2cc[c]cc2)(c2ccccc2)N1,[H],29,111.45,1008
1,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,O=C1NC(=O)C(c2[c]cccc2)(c2ccccc2)N1,[H],31,110.93,1008
3,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,O=C1NC(=O)C(c2c[c]ccc2)(c2ccccc2)N1,[H],23,111.23,1008
10,Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],Cc1c([N+](=O)[O-])c[c]cc1[N+](=O)[O-],[H],17,113.17,1009
11,Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],[CH2]c1c([N+](=O)[O-])cccc1[N+](=O)[O-],[H],14,,1009
13,Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-],Cc1c([N+](=O)[O-])[c]ccc1[N+](=O)[O-],[H],18,113.79,1009
16,COc1ccccc1OCC(O)CO,[CH2]Oc1ccccc1OCC(O)CO,[H],15,97.05,1010
17,COc1ccccc1OCC(O)CO,COc1ccccc1OCC(O)[CH]O,[H],25,93.82,1010
19,COc1ccccc1OCC(O)CO,COc1[c]cccc1OCC(O)CO,[H],17,110.81,1010
20,COc1ccccc1OCC(O)CO,COc1ccccc1O[CH]C(O)CO,[H],21,95.56,1010
21,COc1ccccc1OCC(O)CO,COc1c[c]ccc1OCC(O)CO,[H],18,111.42,1010
24,COc1ccccc1OCC(O)CO,COc1ccccc1OC[C](O)CO,[H],23,93.55,1010
25,COc1ccccc1OCC(O)CO,COc1cc[c]cc1OCC(O)CO,[H],19,111.95,1010
27,COc1ccccc1OCC(O)CO,COc1ccc[c]c1OCC(O)CO,[H],20,112.85,1010
28,Cc1ncc([N+](=O)[O-])n1CCO,Cc1ncc([N+](=O)[O-])n1C[CH]O,[H],18,93.92,1011
29,Cc1ncc([N+](=O)[O-])n1CCO,[CH2]c1ncc([N+](=O)[O-])n1CCO,[H],14,90.7,1011
31,Cc1ncc([N+](=O)[O-])n1CCO,Cc1ncc([N+](=O)[O-])n1[CH]CO,[H],17,99.91,1011
33,Cc1ncc([N+](=O)[O-])n1CCO,Cc1n[c]c([N+](=O)[O-])n1CCO,[H],15,116.16,1011
36,CCCC(CCC)C(=O)O,[CH2]CCC(CCC)C(=O)O,[H],21,100.31,1012
38,CCCC(CCC)C(=O)O,CC[CH]C(CCC)C(=O)O,[H],18,97.51,1012
39,CCCC(CCC)C(=O)O,CCC[C](CCC)C(=O)O,[H],16,88.36,1012
41,CCCC(CCC)C(=O)O,C[CH]CC(CCC)C(=O)O,[H],12,96.89,1012
51,NC(=O)N1c2ccccc2C=Cc2ccccc21,NC(=O)N1c2ccc[c]c2C=Cc2ccccc21,[H],25,111.34,1013
52,NC(=O)N1c2ccccc2C=Cc2ccccc21,NC(=O)N1c2c[c]ccc2C=Cc2ccccc21,[H],30,111.34,1013
54,NC(=O)N1c2ccccc2C=Cc2ccccc21,NC(=O)N1c2[c]cccc2C=Cc2ccccc21,[H],31,112.46,1013
57,NC(=O)N1c2ccccc2C=Cc2ccccc21,NC(=O)N1c2ccccc2[C]=Cc2ccccc21,[H],27,107.07,1013
59,NC(=O)N1c2ccccc2C=Cc2ccccc21,NC(=O)N1c2cc[c]cc2C=Cc2ccccc21,[H],24,111.46,1013
61,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,Nc1nc(=O)c2ncn(CO[CH]CO)c2[nH]1,[H],23,95.48,1014
63,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,Nc1nc(=O)c2ncn([CH]OCCO)c2[nH]1,[H],21,93.57,1014
64,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,Nc1nc(=O)c2ncn(COC[CH]O)c2[nH]1,[H],25,,1014
65,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,Nc1nc(=O)c2n[c]n(COCCO)c2[nH]1,[H],19,114.86,1014
68,NCC1(CC(=O)O)CCCCC1,N[CH]C1(CC(=O)O)CCCCC1,[H],15,,1015
69,NCC1(CC(=O)O)CCCCC1,NCC1(CC(=O)O)C[CH]CCC1,[H],26,96.79,1015
70,NCC1(CC(=O)O)CCCCC1,NCC1([CH]C(=O)O)CCCCC1,[H],17,96.33,1015
71,NCC1(CC(=O)O)CCCCC1,NCC1(CC(=O)O)[CH]CCCC1,[H],19,97.75,1015
75,NCC1(CC(=O)O)CCCCC1,NCC1(CC(=O)O)CC[CH]CC1,[H],23,97.26,1015
82,COc1ccccc1OCC(O)COC(N)=O,COc1[c]cccc1OCC(O)COC(N)=O,[H],20,,1016
83,COc1ccccc1OCC(O)COC(N)=O,COc1ccccc1OCC(O)[CH]OC(N)=O,[H],29,99.51,1016
84,COc1ccccc1OCC(O)COC(N)=O,[CH2]Oc1ccccc1OCC(O)COC(N)=O,[H],18,97.13,1016
85,COc1ccccc1OCC(O)COC(N)=O,COc1ccccc1O[CH]C(O)COC(N)=O,[H],25,95.99,1016
86,COc1ccccc1OCC(O)COC(N)=O,COc1ccccc1OC[C](O)COC(N)=O,[H],26,89.36,1016
87,COc1ccccc1OCC(O)COC(N)=O,COc1cc[c]cc1OCC(O)COC(N)=O,[H],22,111.98,1016
89,COc1ccccc1OCC(O)COC(N)=O,COc1ccc[c]c1OCC(O)COC(N)=O,[H],23,,1016
90,COc1ccccc1OCC(O)COC(N)=O,COc1c[c]ccc1OCC(O)COC(N)=O,[H],21,111.42,1016
94,CC(C)(N)Cc1ccccc1,[CH2]C(C)(N)Cc1ccccc1,[H],11,101.14,1017
95,CC(C)(N)Cc1ccccc1,CC(C)(N)Cc1cc[c]cc1,[H],23,111.24,1017
97,CC(C)(N)Cc1ccccc1,CC(C)(N)[CH]c1ccccc1,[H],19,91.91,1017
99,CC(C)(N)Cc1ccccc1,CC(C)(N)Cc1[c]cccc1,[H],21,,1017
100,CC(C)(N)Cc1ccccc1,CC(C)(N)Cc1c[c]ccc1,[H],22,110.85,1017
107,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,CCN(C(C)=O)c1c[c]cc(-c2ccnc3c(C#N)cnn23)c1,[H],34,,1018
108,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,[CH2]CN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,[H],25,,1018
109,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,CCN(C(C)=O)c1cccc(-c2[c]cnc3c(C#N)cnn23)c1,[H],36,,1018
110,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)[c]nn23)c1,[H],38,,1018
111,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,[CH2]C(=O)N(CC)c1cccc(-c2ccnc3c(C#N)cnn23)c1,[H],31,,1018
112,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,CCN(C(C)=O)c1[c]ccc(-c2ccnc3c(C#N)cnn23)c1,[H],33,,1018
115,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,C[CH]N(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,[H],29,,1018
116,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,CCN(C(C)=O)c1[c]c(-c2ccnc3c(C#N)cnn23)ccc1,[H],39,,1018
117,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,CCN(C(C)=O)c1cccc(-c2c[c]nc3c(C#N)cnn23)c1,[H],37,,1018
121,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,CCN(C(C)=O)c1cc[c]c(-c2ccnc3c(C#N)cnn23)c1,[H],35,,1018
122,Nc1ccc(O)c(C(=O)O)c1,Nc1[c]c(C(=O)O)c(O)cc1,[H],17,,1019
123,Nc1ccc(O)c(C(=O)O)c1,Nc1c[c]c(O)c(C(=O)O)c1,[H],14,113.61,1019
124,Nc1ccc(O)c(C(=O)O)c1,Nc1[c]cc(O)c(C(=O)O)c1,[H],13,111.26,1019
125,CCOc1ccc(NC(C)=O)cc1,[CH2]COc1ccc(NC(C)=O)cc1,[H],15,102.01,1020
126,CCOc1ccc(NC(C)=O)cc1,CCOc1[c]cc(NC(C)=O)cc1,[H],25,110.48,1020
129,CCOc1ccc(NC(C)=O)cc1,C[CH]Oc1ccc(NC(C)=O)cc1,[H],16,94.47,1020
130,CCOc1ccc(NC(C)=O)cc1,[CH2]C(=O)Nc1ccc(OCC)cc1,[H],21,,1020
132,CCOc1ccc(NC(C)=O)cc1,CCOc1c[c]c(NC(C)=O)cc1,[H],19,111.11,1020
137,CC(N)Cc1ccccc1,[CH2]C(N)Cc1ccccc1,[H],11,100.54,1021
138,CC(N)Cc1ccccc1,CC(N)[CH]c1ccccc1,[H],17,88.79,1021
139,CC(N)Cc1ccccc1,C[C](N)Cc1ccccc1,[H],13,89.46,1021
140,CC(N)Cc1ccccc1,CC(N)Cc1c[c]ccc1,[H],21,110.87,1021
141,CC(N)Cc1ccccc1,CC(N)Cc1[c]cccc1,[H],22,,1021
143,CC(N)Cc1ccccc1,CC(N)Cc1cc[c]cc1,[H],20,111.27,1021
148,CCOC(N)=O,C[CH]OC(N)=O,[H],8,96.74,1022
150,CCOC(N)=O,[CH2]COC(N)=O,[H],6,102.04,1022
153,NC(CO)(CO)CO,NC([CH]O)(CO)CO,[H],12,95.25,1023
159,CC1=NC2C(C(O)=CC(=O)N2Cc2ccc(-c3ccccc3-c3nnn[nH]3)cc2)C(C)=N1,CC1=NC2[C](C(O)=CC(=O)N2Cc2ccc(-c3ccccc3-c3nnn[nH]3)cc2)C(C)=N1,[H],40,,1024
160,CC1=NC2C(C(O)=CC(=O)N2Cc2ccc(-c3ccccc3-c3nnn[nH]3)cc2)C(C)=N1,CC1=NC2C(C(O)=CC(=O)N2Cc2c[c]c(-c3ccccc3-c3nnn[nH]3)cc2)C(C)=N1,[H],46,111.82,1024
161,CC1=NC2C(C(O)=CC(=O)N2Cc2ccc(-c3ccccc3-c3nnn[nH]3)cc2)C(C)=N1,[CH2]C1=NC2C(C(O)=CC(=O)N2Cc2ccc(-c3ccccc3-c3nnn[nH]3)cc2)C(C)=N1,[H],36,,1024
165,CC1=NC2C(C(O)=CC(=O)N2Cc2ccc(-c3ccccc3-c3nnn[nH]3)cc2)C(C)=N1,CC1=NC2C(C(O)=CC(=O)N2Cc2ccc(-c3cc[c]cc3-c3nnn[nH]3)cc2)C(C)=N1,[H],49,,1024
166,CC1=NC2C(C(O)=CC(=O)N2Cc2ccc(-c3ccccc3-c3nnn[nH]3)cc2)C(C)=N1,CC1=NC2C(C(O)=CC(=O)N2Cc2[c]cc(-c3ccccc3-c3nnn[nH]3)cc2)C(C)=N1,[H],45,111.51,1024
167,CC1=NC2C(C(O)=CC(=O)N2Cc2ccc(-c3ccccc3-c3nnn[nH]3)cc2)C(C)=N1,[CH2]C1=NC(C)=NC2C1C(O)=CC(=O)N2Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,[H],54,,1024
169,CC1=NC2C(C(O)=CC(=O)N2Cc2ccc(-c3ccccc3-c3nnn[nH]3)cc2)C(C)=N1,CC1=NC2C(C(O)=CC(=O)N2Cc2ccc(-c3ccc[c]c3-c3nnn[nH]3)cc2)C(C)=N1,[H],50,112.75,1024
170,CC1=NC2C(C(O)=CC(=O)N2Cc2ccc(-c3ccccc3-c3nnn[nH]3)cc2)C(C)=N1,CC1=NC2C(C(O)=CC(=O)N2Cc2ccc(-c3c[c]ccc3-c3nnn[nH]3)cc2)C(C)=N1,[H],48,111.42,1024
171,CC1=NC2C(C(O)=CC(=O)N2Cc2ccc(-c3ccccc3-c3nnn[nH]3)cc2)C(C)=N1,CC1=NC2C(C(O)=CC(=O)N2[CH]c2ccc(-c3ccccc3-c3nnn[nH]3)cc2)C(C)=N1,[H],44,89.35,1024
172,CC1=NC2C(C(O)=CC(=O)N2Cc2ccc(-c3ccccc3-c3nnn[nH]3)cc2)C(C)=N1,CC1=N[C]2C(C(O)=CC(=O)N2Cc2ccc(-c3ccccc3-c3nnn[nH]3)cc2)C(C)=N1,[H],39,68.13,1024
174,CC1=NC2C(C(O)=CC(=O)N2Cc2ccc(-c3ccccc3-c3nnn[nH]3)cc2)C(C)=N1,CC1=NC2C(C(O)=CC(=O)N2Cc2ccc(-c3[c]cccc3-c3nnn[nH]3)cc2)C(C)=N1,[H],47,112.0,1024
177,CC1=NC2C(C(O)=CC(=O)N2Cc2ccc(-c3ccccc3-c3nnn[nH]3)cc2)C(C)=N1,CC1=NC2C(C(O)=[C]C(=O)N2Cc2ccc(-c3ccccc3-c3nnn[nH]3)cc2)C(C)=N1,[H],42,114.82,1024
178,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,N[C@@H](Cc1[c]c(O)c(O)cc1)C(=O)O,[H],23,112.54,1025
179,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,N[C@@H](Cc1[c]cc(O)c(O)c1)C(=O)O,[H],19,111.73,1025
180,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,N[C@@H](Cc1c[c]c(O)c(O)c1)C(=O)O,[H],20,111.8,1025
181,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,N[C@@H]([CH]c1ccc(O)c(O)c1)C(=O)O,[H],18,89.88,1025
182,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,N[C](Cc1ccc(O)c(O)c1)C(=O)O,[H],16,84.72,1025
184,CNC[C@H](O)c1ccc(O)c(O)c1,[CH2]NC[C@H](O)c1ccc(O)c(O)c1,[H],14,,1026
185,CNC[C@H](O)c1ccc(O)c(O)c1,CNC[C@H](O)c1[c]c(O)c(O)cc1,[H],25,112.99,1026
187,CNC[C@H](O)c1ccc(O)c(O)c1,CN[CH][C@H](O)c1ccc(O)c(O)c1,[H],18,92.44,1026
190,CNC[C@H](O)c1ccc(O)c(O)c1,CNC[C@H](O)c1[c]cc(O)c(O)c1,[H],21,111.3,1026
191,CNC[C@H](O)c1ccc(O)c(O)c1,CNC[C](O)c1ccc(O)c(O)c1,[H],19,,1026
192,CNC[C@H](O)c1ccc(O)c(O)c1,CNC[C@H](O)c1c[c]c(O)c(O)c1,[H],22,113.27,1026
193,N=C(N)N1CCc2ccccc2C1,N=C(N)N1C[CH]c2ccccc2C1,[H],20,87.68,1027
194,N=C(N)N1CCc2ccccc2C1,N=C(N)N1[CH]c2ccccc2CC1,[H],26,79.94,1027
195,N=C(N)N1CCc2ccccc2C1,N=C(N)N1CCc2[c]cccc2C1,[H],21,110.79,1027
196,N=C(N)N1CCc2ccccc2C1,N=C(N)N1[CH]Cc2ccccc2C1,[H],17,90.49,1027
197,N=C(N)N1CCc2ccccc2C1,N=C(N)N1CCc2c[c]ccc2C1,[H],22,111.2,1027
198,N=C(N)N1CCc2ccccc2C1,N=C(N)N1CCc2cc[c]cc2C1,[H],23,111.21,1027
200,N=C(N)N1CCc2ccccc2C1,N=C(N)N1CCc2ccc[c]c2C1,[H],24,111.06,1027
