,molecule,bond_index,bond_type,fragment1,fragment2,delta_assigned_stereo,delta_unassigned_stereo,BDE,predicted,is_metab_site,mol_id
0,NC(=O)N1c2ccccc2C=Cc2ccccc21,22,C-H,[H],NC(=O)N1c2[c]cccc2C=Cc2ccccc21,0,0,112.46,110.44206000000001,False,1013
1,NC(=O)N1c2ccccc2C=Cc2ccccc21,23,C-H,[H],NC(=O)N1c2c[c]ccc2C=Cc2ccccc21,0,0,111.34,111.357155,False,1013
2,NC(=O)N1c2ccccc2C=Cc2ccccc21,24,C-H,[H],NC(=O)N1c2cc[c]cc2C=Cc2ccccc21,0,0,111.46,111.959305,False,1013
3,NC(=O)N1c2ccccc2C=Cc2ccccc21,25,C-H,[H],NC(=O)N1c2ccc[c]c2C=Cc2ccccc21,0,0,111.34,111.24238600000001,False,1013
4,NC(=O)N1c2ccccc2C=Cc2ccccc21,26,C-H,[H],NC(=O)N1c2ccccc2[C]=Cc2ccccc21,0,0,107.07,109.82118,True,1013
5,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,25,C-H,[H],[CH2]CN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,0,0,,,False,1018
6,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,28,C-H,[H],C[CH]N(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,0,0,,,True,1018
7,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,30,C-H,[H],[CH2]C(=O)N(CC)c1cccc(-c2ccnc3c(C#N)cnn23)c1,0,0,,,False,1018
8,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,33,C-H,[H],CCN(C(C)=O)c1[c]ccc(-c2ccnc3c(C#N)cnn23)c1,0,0,,,False,1018
9,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,34,C-H,[H],CCN(C(C)=O)c1c[c]cc(-c2ccnc3c(C#N)cnn23)c1,0,0,,,False,1018
10,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,35,C-H,[H],CCN(C(C)=O)c1cc[c]c(-c2ccnc3c(C#N)cnn23)c1,0,0,,,False,1018
11,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,36,C-H,[H],CCN(C(C)=O)c1cccc(-c2[c]cnc3c(C#N)cnn23)c1,0,0,,,False,1018
12,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,37,C-H,[H],CCN(C(C)=O)c1cccc(-c2c[c]nc3c(C#N)cnn23)c1,0,0,,,False,1018
13,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,38,C-H,[H],CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)[c]nn23)c1,0,0,,,False,1018
14,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,39,C-H,[H],CCN(C(C)=O)c1[c]c(-c2ccnc3c(C#N)cnn23)ccc1,0,0,,,False,1018
15,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,29,C-H,[H],[CH2]C12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,0,0,98.74,99.43199,False,1062
