,smiles,bond_index,ref,preprocessor_class,mol_id,predicted
0,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,24,111.45,6.0,0,111.253006
1,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,31,110.93,6.0,0,110.41934
2,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,26,110.93,6.0,0,110.41934
3,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,25,111.23,6.0,0,111.23364
4,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,23,111.23,6.0,0,111.23364
5,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,30,111.23,6.0,0,111.23364
6,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,28,111.23,6.0,0,111.23364
7,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,22,110.93,6.0,0,110.41934
8,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,27,110.93,6.0,0,110.41934
9,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,29,111.45,6.0,0,111.253006
10,COc1ccccc1OCC(O)CO,18,111.42,6.0,1,111.43753
11,COc1ccccc1OCC(O)CO,22,95.56,6.0,1,95.741104
12,COc1ccccc1OCC(O)CO,15,97.05,6.0,1,96.66304
13,COc1ccccc1OCC(O)CO,16,97.05,6.0,1,96.66304
14,COc1ccccc1OCC(O)CO,14,97.05,6.0,1,96.66304
15,COc1ccccc1OCC(O)CO,23,93.55,6.0,1,93.80485
16,COc1ccccc1OCC(O)CO,19,111.95,6.0,1,111.458725
17,COc1ccccc1OCC(O)CO,17,110.81,6.0,1,110.83269
18,COc1ccccc1OCC(O)CO,26,93.82,6.0,1,93.98401
19,COc1ccccc1OCC(O)CO,25,93.82,6.0,1,93.98401
20,COc1ccccc1OCC(O)CO,20,112.85,6.0,1,110.96919
21,COc1ccccc1OCC(O)CO,21,95.56,6.0,1,95.741104
22,CCCC(CCC)C(=O)O,12,96.89,6.0,2,97.11688
23,CCCC(CCC)C(=O)O,17,97.51,6.0,2,97.542465
24,CCCC(CCC)C(=O)O,23,100.31,6.0,2,99.80931
25,CCCC(CCC)C(=O)O,14,97.51,6.0,2,97.542465
26,CCCC(CCC)C(=O)O,10,100.31,6.0,2,99.80931
27,CCCC(CCC)C(=O)O,18,97.51,6.0,2,97.542465
28,CCCC(CCC)C(=O)O,15,97.51,6.0,2,97.542465
29,CCCC(CCC)C(=O)O,21,100.31,6.0,2,99.80931
30,CCCC(CCC)C(=O)O,16,88.36,6.0,2,88.15846
31,CCCC(CCC)C(=O)O,9,100.31,6.0,2,99.80931
32,CCCC(CCC)C(=O)O,22,100.31,6.0,2,99.80931
33,CCCC(CCC)C(=O)O,19,96.89,6.0,2,97.11688
34,CCCC(CCC)C(=O)O,13,96.89,6.0,2,97.11688
35,CCCC(CCC)C(=O)O,20,96.89,6.0,2,97.11688
36,CCCC(CCC)C(=O)O,11,100.31,6.0,2,99.80931
37,NC(=O)N1c2ccccc2C=Cc2ccccc21,28,111.34,6.0,3,111.242386
38,NC(=O)N1c2ccccc2C=Cc2ccccc21,29,111.46,6.0,3,111.959305
39,NC(=O)N1c2ccccc2C=Cc2ccccc21,25,111.34,6.0,3,111.242386
40,NC(=O)N1c2ccccc2C=Cc2ccccc21,26,107.07,6.0,3,109.82118
41,NC(=O)N1c2ccccc2C=Cc2ccccc21,24,111.46,6.0,3,111.959305
42,NC(=O)N1c2ccccc2C=Cc2ccccc21,30,111.34,6.0,3,111.357155
43,NC(=O)N1c2ccccc2C=Cc2ccccc21,23,111.34,6.0,3,111.357155
44,NC(=O)N1c2ccccc2C=Cc2ccccc21,31,112.46,6.0,3,110.44206
45,NC(=O)N1c2ccccc2C=Cc2ccccc21,27,107.07,6.0,3,109.82118
46,NC(=O)N1c2ccccc2C=Cc2ccccc21,22,112.46,6.0,3,110.44206
47,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,20,93.57,6.0,4,96.31774
48,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,21,93.57,6.0,4,96.31774
49,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,23,95.48,6.0,4,98.14138
50,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,19,114.86,6.0,4,115.8036
51,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,22,95.48,6.0,4,98.14138
52,NCC1(CC(=O)O)CCCCC1,19,97.75,6.0,5,97.046234
53,NCC1(CC(=O)O)CCCCC1,25,96.79,6.0,5,96.63128
54,NCC1(CC(=O)O)CCCCC1,28,97.75,6.0,5,97.046234
55,NCC1(CC(=O)O)CCCCC1,17,96.33,6.0,5,92.10605
56,NCC1(CC(=O)O)CCCCC1,26,96.79,6.0,5,96.63128
57,NCC1(CC(=O)O)CCCCC1,23,97.26,6.0,5,97.56619
58,NCC1(CC(=O)O)CCCCC1,21,96.79,6.0,5,96.63128
59,NCC1(CC(=O)O)CCCCC1,27,97.75,6.0,5,97.046234
60,NCC1(CC(=O)O)CCCCC1,20,97.75,6.0,5,97.046234
61,NCC1(CC(=O)O)CCCCC1,22,96.79,6.0,5,96.63128
62,NCC1(CC(=O)O)CCCCC1,24,97.26,6.0,5,97.56619
63,NCC1(CC(=O)O)CCCCC1,16,96.33,6.0,5,92.10605
64,COc1ccccc1OCC(O)COC(N)=O,29,99.51,6.0,6,97.65356
65,COc1ccccc1OCC(O)COC(N)=O,18,97.13,6.0,6,96.66304
66,COc1ccccc1OCC(O)COC(N)=O,24,95.99,6.0,6,95.64682
67,COc1ccccc1OCC(O)COC(N)=O,26,89.36,6.0,6,92.55562
68,COc1ccccc1OCC(O)COC(N)=O,21,111.42,6.0,6,111.43753
69,COc1ccccc1OCC(O)COC(N)=O,25,95.99,6.0,6,95.64682
70,COc1ccccc1OCC(O)COC(N)=O,28,99.51,6.0,6,97.65356
71,COc1ccccc1OCC(O)COC(N)=O,17,97.13,6.0,6,96.66304
72,COc1ccccc1OCC(O)COC(N)=O,19,97.13,6.0,6,96.66304
73,COc1ccccc1OCC(O)COC(N)=O,22,111.98,6.0,6,111.458725
74,CC(C)(N)Cc1ccccc1,15,101.14,6.0,7,101.30809
75,CC(C)(N)Cc1ccccc1,11,101.14,6.0,7,101.30809
76,CC(C)(N)Cc1ccccc1,24,110.85,6.0,7,110.982155
77,CC(C)(N)Cc1ccccc1,13,101.14,6.0,7,101.30809
78,CC(C)(N)Cc1ccccc1,19,91.91,6.0,7,90.158264
79,CC(C)(N)Cc1ccccc1,20,91.91,6.0,7,90.158264
80,CC(C)(N)Cc1ccccc1,22,110.85,6.0,7,110.982155
81,CC(C)(N)Cc1ccccc1,16,101.14,6.0,7,101.30809
82,CC(C)(N)Cc1ccccc1,23,111.24,6.0,7,111.37176
83,CC(C)(N)Cc1ccccc1,14,101.14,6.0,7,101.30809
84,CC(C)(N)Cc1ccccc1,12,101.14,6.0,7,101.30809
85,Nc1ccc(O)c(C(=O)O)c1,13,111.26,6.0,8,111.43281
86,Nc1ccc(O)c(C(=O)O)c1,14,113.61,6.0,8,114.04691
87,CCOc1ccc(NC(C)=O)cc1,18,110.48,6.0,9,113.08818
88,CCOc1ccc(NC(C)=O)cc1,15,102.01,6.0,9,101.56218
89,CCOc1ccc(NC(C)=O)cc1,24,111.11,6.0,9,112.017876
90,CCOc1ccc(NC(C)=O)cc1,13,102.01,6.0,9,101.56218
91,CCOc1ccc(NC(C)=O)cc1,19,111.11,6.0,9,112.017876
92,CCOc1ccc(NC(C)=O)cc1,14,102.01,6.0,9,101.56218
93,CCOc1ccc(NC(C)=O)cc1,25,110.48,6.0,9,113.08818
94,CCOc1ccc(NC(C)=O)cc1,17,94.47,6.0,9,94.10829
95,CCOc1ccc(NC(C)=O)cc1,16,94.47,6.0,9,94.10829
96,CC(N)Cc1ccccc1,13,89.46,6.0,10,88.64267
97,CC(N)Cc1ccccc1,11,100.54,6.0,10,101.002075
98,CC(N)Cc1ccccc1,21,110.87,6.0,10,110.95766
99,CC(N)Cc1ccccc1,17,88.79,6.0,10,88.589584
100,CC(N)Cc1ccccc1,20,111.27,6.0,10,111.380295
101,CC(N)Cc1ccccc1,16,88.79,6.0,10,88.589584
102,CC(N)Cc1ccccc1,10,100.54,6.0,10,101.002075
103,CC(N)Cc1ccccc1,19,110.87,6.0,10,110.95766
104,CC(N)Cc1ccccc1,12,100.54,6.0,10,101.002075
105,CCOC(N)=O,6,102.04,6.0,11,101.530754
106,CCOC(N)=O,5,102.04,6.0,11,101.530754
107,CCOC(N)=O,7,102.04,6.0,11,101.530754
108,CCOC(N)=O,8,96.74,6.0,11,95.97695
109,CCOC(N)=O,9,96.74,6.0,11,95.97695
110,NC(CO)(CO)CO,10,95.25,6.0,12,91.51675
111,NC(CO)(CO)CO,9,95.25,6.0,12,91.51675
112,NC(CO)(CO)CO,12,95.25,6.0,12,91.51675
113,NC(CO)(CO)CO,16,95.25,6.0,12,91.51675
114,NC(CO)(CO)CO,15,95.25,6.0,12,91.51675
115,NC(CO)(CO)CO,13,95.25,6.0,12,91.51675
116,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,16,84.72,6.0,13,78.21263
117,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,18,89.88,6.0,13,89.23822
118,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,17,89.88,6.0,13,89.23822
119,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,20,111.8,6.0,13,111.75608
120,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,23,112.54,6.0,13,111.493515
121,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,19,111.73,6.0,13,111.80859
122,CNC[C@H](O)c1ccc(O)c(O)c1,18,92.44,6.0,14,92.454834
123,CNC[C@H](O)c1ccc(O)c(O)c1,17,92.44,6.0,14,92.454834
124,CNC[C@H](O)c1ccc(O)c(O)c1,21,111.3,6.0,14,111.6286
125,CNC[C@H](O)c1ccc(O)c(O)c1,25,112.99,6.0,14,111.54183
126,CNC[C@H](O)c1ccc(O)c(O)c1,22,113.27,6.0,14,111.885086
127,N=C(N)N1CCc2ccccc2C1,20,87.68,6.0,15,87.69934
128,N=C(N)N1CCc2ccccc2C1,23,111.21,6.0,15,111.35448
129,N=C(N)N1CCc2ccccc2C1,17,90.49,6.0,15,90.29007
130,N=C(N)N1CCc2ccccc2C1,24,111.06,6.0,15,110.94386
131,N=C(N)N1CCc2ccccc2C1,22,111.2,6.0,15,111.2632
132,N=C(N)N1CCc2ccccc2C1,19,87.68,6.0,15,87.69934
133,N=C(N)N1CCc2ccccc2C1,25,79.94,6.0,15,79.3687
134,N=C(N)N1CCc2ccccc2C1,21,110.79,6.0,15,111.093445
135,N=C(N)N1CCc2ccccc2C1,26,79.94,6.0,15,79.3687
136,N=C(N)N1CCc2ccccc2C1,18,90.49,6.0,15,90.29007
137,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,29,112.47,6.0,16,112.04184
138,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,25,111.57,6.0,16,112.15847
139,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,26,111.79,6.0,16,111.75493
140,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,28,86.4,6.0,16,81.945206
141,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,27,86.4,6.0,16,81.945206
142,NC(=O)N1c2ccccc2CC(=O)c2ccccc21,30,111.68,6.0,16,112.21268
