,molecule,bond_index,fragment1,fragment2,bde,bond_type,delta_stereo,radicals,BDE
7,CC(=O)Oc1ccccc1C(=O)O,13,[H],[CH2]C(=O)Oc1ccccc1C(=O)O,97.8449683340139,C-H,0,"['[CH2]C(=O)Oc1ccccc1C(=O)O', '[H]']",97.86
8,CC(=O)Oc1ccccc1C(=O)O,16,[H],CC(=O)Oc1[c]cccc1C(=O)O,113.58665910807699,C-H,0,"['CC(=O)Oc1[c]cccc1C(=O)O', '[H]']",113.58
9,CC(=O)Oc1ccccc1C(=O)O,17,[H],CC(=O)Oc1c[c]ccc1C(=O)O,111.28244606004499,C-H,0,"['CC(=O)Oc1c[c]ccc1C(=O)O', '[H]']",111.27
11,CC(=O)Oc1ccccc1C(=O)O,19,[H],CC(=O)Oc1ccc[c]c1C(=O)O,111.66648156807399,C-H,0,"['CC(=O)Oc1ccc[c]c1C(=O)O', '[H]']",111.67
12,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,25,[H],[CH2]CCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,100.102745715949,C-H,0,"['[CH2]CCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21', '[H]']",100.13
17,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,36,[H],CCCCCc1[c]c(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,112.032319315007,C-H,0,"['CCCCCc1[c]c(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21', '[H]']",112.06
19,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,46,[H],CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1[CH]CC(C)=C[C@@H]21,96.46131098901171,C-H,0,"['CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1[CH]CC(C)=C[C@@H]21', '[H]']",96.43
20,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,48,[H],CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1C[CH]C(C)=C[C@@H]21,83.80445445900709,C-H,0,"['CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1C[CH]C(C)=C[C@@H]21', '[H]']",83.8
21,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,50,[H],[CH2]C1=C[C@H]2c3c(O)cc(CCCCC)cc3OC(C)(C)[C@@H]2CC1,88.16438699098559,C-H,0,"['[CH2]C1=C[C@H]2c3c(O)cc(CCCCC)cc3OC(C)(C)[C@@H]2CC1', '[H]']",88.19
23,C=C(C)[C@H]1CC=C(C)CC1,10,[H],[CH]=C(C)[C@H]1CC=C(C)CC1,109.425019419991,C-H,0,"['[CH]=C(C)[C@H]1CC=C(C)CC1', '[H]']",109.43
24,C=C(C)[C@H]1CC=C(C)CC1,12,[H],[CH2]C(=C)[C@H]1CC=C(C)CC1,88.16940706300859,C-H,0,"['[CH2]C(=C)[C@H]1CC=C(C)CC1', '[H]']",88.16
26,C=C(C)[C@H]1CC=C(C)CC1,18,[H],C=C(C)[C@H]1C[C]=C(C)CC1,108.033204458009,C-H,0,"['C=C(C)[C@H]1C[C]=C(C)CC1', '[H]']",108.04
28,C=C(C)[C@H]1CC=C(C)CC1,22,[H],C=C(C)[C@@H]1C[CH]C(C)=CC1,85.2288998890134,C-H,0,"['C=C(C)[C@@H]1C[CH]C(C)=CC1', '[H]']",85.23
29,C=C(C)[C@H]1CC=C(C)CC1,24,[H],C=C(C)[C@@H]1[CH]CC(C)=CC1,97.70064126402158,C-H,0,"['C=C(C)[C@@H]1[CH]CC(C)=CC1', '[H]']",97.67
31,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,41,[H],CC(C)(C)NC(=O)[C@H]1[CH]C[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,96.083550571038,C-H,0,"['CC(C)(C)NC(=O)[C@H]1[CH]C[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C', '[H]']",96.09
32,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,43,[H],CC(C)(C)NC(=O)[C@H]1C[CH][C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,96.534729541969,C-H,0,"['CC(C)(C)NC(=O)[C@H]1C[CH][C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C', '[H]']",96.58
33,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,47,[H],CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3[CH]C[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,97.7238590970343,C-H,0,"['CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3[CH]C[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C', '[H]']",97.77
34,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,49,[H],CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3C[CH][C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,98.03510356096191,C-H,0,"['CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3C[CH][C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C', '[H]']",98.08
36,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,54,[H],CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=[C][C@]4(C)[C@H]3CC[C@]12C,106.26049153302601,C-H,0,"['CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=[C][C@]4(C)[C@H]3CC[C@]12C', '[H]']",106.28
37,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,59,[H],CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3[CH]C[C@]12C,95.3104594829924,C-H,0,"['CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3[CH]C[C@]12C', '[H]']",95.35
39,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,63,[H],[CH2][C@]12CC[C@H]3[C@@H](CC[C@H]4NC(=O)C=C[C@]34C)[C@@H]1CC[C@@H]2C(=O)NC(C)(C)C,98.67704526798201,C-H,0,"['[CH2][C@]12CC[C@H]3[C@@H](CC[C@H]4NC(=O)C=C[C@]34C)[C@@H]1CC[C@@H]2C(=O)NC(C)(C)C', '[H]']",98.74
40,CC[C@@H](C(N)=O)N1CCCC1=O,12,[H],[CH2]C[C@@H](C(N)=O)N1CCCC1=O,99.4871593870055,C-H,0,"['[CH2]C[C@@H](C(N)=O)N1CCCC1=O', '[H]']",99.47
41,CC[C@@H](C(N)=O)N1CCCC1=O,15,[H],C[CH][C@@H](C(N)=O)N1CCCC1=O,97.31472322906859,C-H,0,"['C[CH][C@@H](C(N)=O)N1CCCC1=O', '[H]']",97.29
42,CC[C@@H](C(N)=O)N1CCCC1=O,20,[H],CC[C@@H](C(N)=O)N1[CH]CCC1=O,92.4935715820418,C-H,0,"['CC[C@@H](C(N)=O)N1[CH]CCC1=O', '[H]']",92.52
43,CC[C@@H](C(N)=O)N1CCCC1=O,22,[H],CC[C@@H](C(N)=O)N1C[CH]CC1=O,96.6533287430263,C-H,0,"['CC[C@@H](C(N)=O)N1C[CH]CC1=O', '[H]']",96.63
44,CC[C@@H](C(N)=O)N1CCCC1=O,24,[H],CC[C@@H](C(N)=O)N1CC[CH]C1=O,93.456170388037,C-H,0,"['CC[C@@H](C(N)=O)N1CC[CH]C1=O', '[H]']",93.45
