molecule,bond_index,fragment1,fragment2,bde,bond_type,delta_stereo,radicals,BDE,bde_min
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,28,[H],C[CH]N(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,92.5412622659927,C-H,0,"['C[CH]N(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1', '[H]']",,92.54126226599269
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,33,[H],CCN(C(C)=O)c1[c]ccc(-c2ccnc3c(C#N)cnn23)c1,111.36904230196899,C-H,0,"['CCN(C(C)=O)c1[c]ccc(-c2ccnc3c(C#N)cnn23)c1', '[H]']",,111.1209942693413
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,34,[H],CCN(C(C)=O)c1c[c]cc(-c2ccnc3c(C#N)cnn23)c1,113.55026358595501,C-H,0,"['CCN(C(C)=O)c1c[c]cc(-c2ccnc3c(C#N)cnn23)c1', '[H]']",,111.61092192115629
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,35,[H],CCN(C(C)=O)c1cc[c]c(-c2ccnc3c(C#N)cnn23)c1,111.722329869005,C-H,0,"['CCN(C(C)=O)c1cc[c]c(-c2ccnc3c(C#N)cnn23)c1', '[H]']",,111.72232986893333
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,37,[H],CCN(C(C)=O)c1cccc(-c2c[c]nc3c(C#N)cnn23)c1,106.768773822955,C-H,0,"['CCN(C(C)=O)c1cccc(-c2c[c]nc3c(C#N)cnn23)c1', '[H]']",,106.76877382302679
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,38,[H],CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)[c]nn23)c1,118.17123986198798,C-H,0,"['CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)[c]nn23)c1', '[H]']",,118.17123986191682
CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,39,[H],CCN(C(C)=O)c1[c]c(-c2ccnc3c(C#N)cnn23)ccc1,109.95840206996401,C-H,0,"['CCN(C(C)=O)c1[c]c(-c2ccnc3c(C#N)cnn23)ccc1', '[H]']",,109.95840206996377
CC(=O)Oc1ccccc1C(=O)O,13,[H],[CH2]C(=O)Oc1ccccc1C(=O)O,97.8449683340139,C-H,0,"['[CH2]C(=O)Oc1ccccc1C(=O)O', '[H]']",97.86,97.84496833401394
CC(=O)Oc1ccccc1C(=O)O,16,[H],CC(=O)Oc1[c]cccc1C(=O)O,113.58665910807699,C-H,0,"['CC(=O)Oc1[c]cccc1C(=O)O', '[H]']",113.58,113.58564379848048
CC(=O)Oc1ccccc1C(=O)O,17,[H],CC(=O)Oc1c[c]ccc1C(=O)O,111.28244606004499,C-H,0,"['CC(=O)Oc1c[c]ccc1C(=O)O', '[H]']",111.27,111.27324991566734
